Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
ANTWERPEN-WEST - FH01;62428;11077092;(L/B/S)U template;Entrepotplaats;18;;;;;
ANTWERPEN-WEST - FH01;62428;11077093;(L/B/S)U template;Entrepotplaats;18;;;;;
ANTWERPEN-WEST - FH01;62428;11077094;(L/B/S)U template;Entrepotplaats;18;;;;;
ANTWERPEN-WEST - FH01;62430;1754672;(L/B/S)U template;Oudeleeuwenrui;33;;;;;
ANTWERPEN-WEST - FH01;62430;1754673;(L/B/S)U template;Oudeleeuwenrui;33;;;;;
ANTWERPEN-WEST - FH01;62430;1754674;(L/B/S)U template;Oudeleeuwenrui;33;;;;;
ANTWERPEN-WEST - FH01;62430;11077277;(L/B/S)U template;Oudeleeuwenrui;33;;;;;
ANTWERPEN-WEST - FH01;62430;11077278;(L/B/S)U template;Oudeleeuwenrui;33;;;;;
ANTWERPEN-WEST - FH01;62432;11076347;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62432;11076348;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62432;11076349;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62432;11076350;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62432;11076351;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62432;11076352;(L/B/S)U template;Oudeleeuwenrui;1;;;;;
ANTWERPEN-WEST - FH01;62433;1794490;(L/B/S)U template;Oudeleeuwenrui;47;;;;;
ANTWERPEN-WEST - FH01;62434;10364771;(L/B/S)U template;Zeevaartstraat;3;;;;;
ANTWERPEN-WEST - FH01;62434;11077794;(L/B/S)U template;Zeevaartstraat;3;;;;;
ANTWERPEN-WEST - FH01;62435;10364772;(L/B/S)U template;Zeevaartstraat;1;;;;;
ANTWERPEN-WEST - FH01;62436;11136096;(L/B/S)U template;Zeevaartstraat;4;;;;;
ANTWERPEN-WEST - FH01;62437;1723480;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723492;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723674;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723783;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723895;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723897;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723903;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1723982;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1724086;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1724087;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1724088;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;1724089;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;10411394;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62437;10415070;(L/B/S)U template;Godefriduskaai;26;;;;;
ANTWERPEN-WEST - FH01;62438;11076543;(L/B/S)U template;Godefriduskaai;14;;;;;
ANTWERPEN-WEST - FH01;62439;1678092;(L/B/S)U template;Godefriduskaai;18;;;;;
ANTWERPEN-WEST - FH01;62439;1678534;(L/B/S)U template;Godefriduskaai;18;;;;;
ANTWERPEN-WEST - FH01;62439;1678538;(L/B/S)U template;Godefriduskaai;18;;;;;
